location,lat,long,good,money,service,NA
"""Some White People's House"" and their barn",30.40185596106536,-89.26908066564593,1,NA,NA,NA
Batiste Property,30.400637931513852,-89.26806244331303,5,1,2,NA
"Bois Sauvage, MS",30.37877669386771,-89.26344602946764,3,NA,NA,1
Feed store,30.47949097202286,-88.84421123466053,1,NA,NA,NA
Gas station near interstate,30.403299510701547,-89.2676805526253,2,NA,NA,NA
Grocery store in St. Catherine,30.443067376446155,-89.0553816234266,3,NA,NA,NA
Mudda Ma'am's house,30.400578957060162,-89.26581373526444,NA,NA,1,NA
"St. Catherine, MS",30.315668959405787,-89.23958509830771,2,1,NA,NA
