page,first_6_words,location,location_type,purchaser,item_purchased,purchased_with,purchased_from,created_by,notes,Feedback
111,,,,,,,,,,
112,,,,,,,,,,
113,"most Indians in Oklahoma, including him","Talihina, Oklahoma",movement,,,,,Calum O'Brien,uda is recalling an event where Red picked up stray dogs off the streets and took them to the cabin outside of Talihina,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,have happened to them. Their father.,"Auda's home, Oklahoma",economic,Delores Love,good,good,Dovie Love ,Calum O'Brien,"The passage describes Auda’s relationship with her aunts and their past, including some of their eccentricities and the family history",
118,,,,,,,,,,
119,,,,,,,,,,
120,Choctaws Sweep the floors for ten,Casino of the Sun,economic,Casino of The Sun ,service,money,Casino Workers,Jake Henry,Workers at the Casino make $10/hr & dealers Lucky Luciano and Vito Corleone make much more ,
120,Money to the Irish Republican Army ,Choctaw National Headquarters,economic,Irish Repulican Army,money,service,Redford McAlester,Jake Henry,McAlester was giving money to Irish Republican Army ,
121,Adopted the small French Angora ten,"Durant, Oklahoma ",economic,Auda Billy,livestock,money,"Pet shelter in Durant, OK",Jake Henry,Auda adopted her pet rabbit 10 years ago ,
121,Beginning of Bienville's tenure in Louisiana,"Pearl River, Louisiana",movement,,,,,Jake Henry,Bienville lives with Choctaw of Louisiana  in 1700,
121,Bienville traded muskets to the Choctaws,"Pearl River, Louisiana",economic,Choctaw of Louisiana ,good,good,Jean Baptiste Le Moyne Sieur de Bienville,Jake Henry,Bienville would trade muskets with the Choctaws in exchange for military and political support,
121,He was recalled to Paris and ,"Paris, France",movement,,,,,Jake Henry,Bienville is called back to Paris in 1724,
121,Bienville triumphantly returned to Louisiana in ,"Pearl River, Louisiana",movement,,,,,Jake Henry,Bienville is returned as governor ,
121,France at his own expense in ,"Paris, France",movement,,,,,Jake Henry,Bienville is fired in 1742 and returned to France ,
122,,,,,,,,,,
123,"Midafternoon, Auda, her mother, Hoppy, and ",Choctaw National Regional Clinic,movement,,,,,Jake Henry,"Auda, Susan, Hoppy, and Isaac leave the Billy house to take Auda to hospital",
124,,,,,,,,,,
125,My First pair of new Levis,"Durant, Oklahoma ",economic,Buster Jones,good,money,Susan Billy,Jake Henry,Susan bought Buster his first pair of new pants,
126,wife and daughter to Ireland for,Ireland,movement,,,,,Jake Henry,Tonica sent his wife and daughte to Ireland - Summer 1990 ,
127,Anoleta is marooned in her sleep,Yanàbi Town,,,,,,,"Start of Chapter 8 - Yanàbi Town, Winter solstice 1738",
128,,,,,,,,,,
129,Going take Choucououlacta for your husband,Yanàbi Town,economic,Anoleta,service,service,Choucououlacta ,Jake Henry,Anoleta plans to marry Choucououlacta - instead of re-marrying Red Shoes ,
130,,,,,,,,,,
131,,,,,,,,,,
132,Haya pulls a small strand of,Yanàbi Town,economic,Haya,good,service,Blackrobe,Josie Fertig,Haya receives gifts from one of the Blackrobes for having sex with him,
133,They were collecting the trade goods,Yanàbi Town,economic,Shakbatina,good,good,Jean Baptiste Le Moyne Sieur de Bienville,Josie Fertig,Shakbatina and Bienville exchanged trade goods,
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,before splitting my spirit in half,"Durant, Oklahoma ",movement,,,,,Josie Fertig,Shakbatina's spirit has travelled from the 18th century in MS to the 20th in OK,
137,"in 1831, throngs of ragged children","Durant, Oklahoma ",movement,,,,,Josie Fertig,Shakbatina's descendants were forced out of MS to walk to OK ,
138,doctors at the Choctaw Health Clinic,Choctaw National Regional Clinic,economic,Carl Tonica,service,money,,Josie Fertig,Carl Tonica goes to doctors appointment,
138,too much pork and cheap beer,"Durant, Oklahoma ",economic,Carl Tonica,good,money,,Josie Fertig,Carl regularly buys lots of pork and beer,
139,From the time construction began on,Casino of the Sun,economic,Redford McAlester,service,money,Shamrock Resorts,Josie Fertig,Redford goes over budget on casino construction,
139,"Concerning the cost overruns, they'd agreed",Casino of the Sun,economic,Redford McAlester,money,money,Construction workers,Josie Fertig,"Redford makes a deal with the workers to split the kickbacks 50/50 (""To him, making deals was the big orgasm"")",
139,wound up siphoning money from Shamrock,Casino of the Sun,economic,Redford McAlester,money,theft,Shamrock Resorts,Josie Fertig,Redford steals money from Shamrock Resorts to pay the construction workers,
139,Tonica remembers the day tribal members,Ireland,movement,,,,,Josie Fertig,"""tribal members were invited to Ireland to commemorate the ""Long Walk"" made during the Irish Potato Famine of 1847""",
140,,,,,,,,,,
141,She says Chief McAlester stole millions,"Durant, Oklahoma ",economic,Redford McAlester,money,theft,Mafia,Josie Fertig,Shakbatina says Red stole millions from the Mafia...,
141,and gave it to the Irish,"Durant, Oklahoma ",economic,Redford McAlester,service,money,Irish Repulican Army,Josie Fertig,...and that Red gave the stolen money to Irish Republican Army so they'd kill Englishmen,
142,,,,,,,,,,
143,,,,,,,,,,
144,"""Delores' hands are like two shovels...""",Billy House ,movement,,,,,Jacob Dinman,Start of chapter 10.,
145,,,,,,,,,,
146,,,,,,,,,,
147,,,,,,,,,,
148,,,,,,,,,,
149,,,,,,,,,,
150,"""That same year, she and Dovie...""","Durant, Oklahoma ",economic,Delores Love,service,money,Isaac Billy ,Jacob Dinman,"Not explicity mentioned it was for money, but can be assumed.",
151,,,,,,,,,,
152,,,,,,,,,,
153,"""Did you or Delores choose that...""","Durant, Oklahoma ",economic,Irish Repulican Army,money,money,Choctaw of Louisiana ,Jacob Dinman,"Full quote is, ""Did you or Delores choose that song because of the money the Choctaws sent to Ireland in 1847?"" The IRA went an organization at the time, but I indicated that they were the ones who recieved the money for simplicity sake. Also never indicated what/if Choctawas recieved in return.",
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,,,,,,,,,,
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,,,,,,,,,,
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,Yanàbi Town,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,"Dawn. Anoleta, along with two hundred",Yanàbi Town,movement,,,,,Hannah Siegmund,Start of chapter 11,
181,"When she was little, she would",Yanàbi Town,economic,Anoleta,good,good,,Hannah Siegmund,"Anoleta trades beehives, bear oil, and alligator hides with warriors along the route.",
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,"""Her mother sits beside her stranded...""",Billy House ,movement,,,,,Daniel C.Hamby,,
199,"""He is again driving the car too...""","Talihina, Rocky Road",movement,,,,,Daniel C.Hamby,,
200,,,,,,,,,,
201,,,,,,,,,,
202,,,,,,,,,,
203,,,,,,,,,,
204,"""Once they check into their hotel...""",Hotel that Adair and Gore visit,movement,,,,,Daniel C.Hamby,,
205,,,,,,,,,,
206,,,,,,,,,,
207,,,,,,,,,,
208,,,,,,,,,,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,Sarah Bernhardt grins widely and stands,Choctaw Nation Tribal Courthouse ,movement,,,,,Damien McDonald,this scene is still at the courthouse ,
217,,,,,,,,,,
218,,,,,,,,,,
219,"""How do you know?"" ""I just...""",Billy House ,movement,Auda Billy,,,,Damien McDonald,After court she goes back to her home ,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,,
266,,,,,,,,,,
267,,,,,,,,,,
268,,,,,,,,,,
269,,,,,,,,,,
270,,,,,,,,,,
271,,,,,,,,,,
272,,,,,,,,,,
273,,,,,,,,,,
274,,,,,,,,,,
275,,,,,,,,,,
276,,,,,,,,,,
277,,,,,,,,,,
278,,,,,,,,,,
279,,,,,,,,,,
280,,,,,,,,,,
281,,,,,,,,,,
282,,,,,,,,,,
283,,,,,,,,,,
284,,,,,,,,,,
285,,,,,,,,,,
286,,,,,,,,,,
287,,,,,,,,,,
288,,,,,,,,,,
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,,,,,
294,,,,,,,,,,
295,,,,,,,,,,
296,,,,,,,,,,
297,,,,,,,,,,
298,,,,,,,,,,
299,,,,,,,,,,
